rank,team,G,W,L,D,WPCT,差,首位差,残試合,貯金,連勝連敗,RS,RS_avg,RA,RA_avg,RD,AVG,HR,SB,ERA,league,year
6,DeNA,143,54,73,16,0.425,1.5,20.0,0,-19,● 2,559,3.91,624,4.36,-65,0.258,136,31,4.15,CL,2021
1,オリックス,143,70,55,18,0.56,優勝,-,0,15,● 1,551,3.85,500,3.5,51,0.247,133,50,3.31,PL,2021
2,ロッテ,143,67,57,19,0.54,2.5,2.5,0,10,○ 1,584,4.08,570,3.99,14,0.239,126,107,3.67,PL,2021
3,楽天,143,66,62,15,0.516,3.0,5.5,0,4,● 2,532,3.72,507,3.55,25,0.243,108,45,3.4,PL,2021
4,ソフトバンク,143,60,62,21,0.492,3.0,8.5,0,-2,○ 1,564,3.94,493,3.45,71,0.247,132,92,3.25,PL,2021
5,日本ハム,143,55,68,20,0.447,5.5,14.0,0,-13,○ 2,454,3.17,515,3.6,-61,0.231,78,77,3.32,PL,2021
6,西武,143,55,70,18,0.44,1.0,15.0,0,-15,● 1,521,3.64,589,4.12,-68,0.239,112,84,3.94,PL,2021
1,ヤクルト,143,80,59,4,0.576,優勝,-,0,21,○ 2,619,4.33,566,3.96,53,0.25,174,69,3.52,CL,2022
2,DeNA,143,73,68,2,0.518,8.0,8.0,0,5,● 1,497,3.48,534,3.73,-37,0.251,117,49,3.48,CL,2022
3,阪神,143,68,71,4,0.489,4.0,12.0,0,-3,○ 3,489,3.42,428,2.99,61,0.243,84,110,2.67,CL,2022
4,巨人,143,68,72,3,0.486,0.5,12.5,0,-4,○ 1,548,3.83,589,4.12,-41,0.242,163,64,3.69,CL,2022
5,広島,143,66,74,3,0.471,2.0,14.5,0,-8,● 4,552,3.86,544,3.8,8,0.257,91,26,3.54,CL,2022
6,中日,143,66,75,2,0.468,0.5,15.0,0,-9,○ 2,414,2.9,495,3.46,-81,0.247,62,66,3.28,CL,2022
1,オリックス,143,76,65,2,0.539,優勝,-,0,11,○ 2,490,3.43,458,3.2,32,0.246,89,62,2.84,PL,2022
2,ソフトバンク,143,76,65,2,0.539,0.0,-,0,11,● 2,555,3.88,471,3.29,84,0.255,108,86,3.07,PL,2022
3,西武,143,72,68,3,0.514,3.5,3.5,0,4,● 1,464,3.24,448,3.13,16,0.229,118,60,2.75,PL,2022
4,楽天,143,69,71,3,0.493,3.0,6.5,0,-2,● 4,533,3.73,522,3.65,11,0.243,101,97,3.47,PL,2022
5,ロッテ,143,69,73,1,0.486,1.0,7.5,0,-4,○ 1,501,3.5,536,3.75,-35,0.231,97,132,3.39,PL,2022
