player,team,pred_ERA
田中　健二朗,DeNA,3.7
田嶋　大樹,オリックス,3.37
松本　裕樹,ソフトバンク,2.96
西垣　雅矢,楽天,3.2
ガゼルマン,DeNA,3.35
森　博人,中日,4.21
西　純矢,阪神,4.06
久保　拓眞,ヤクルト,3.08
ガンケル,阪神,3.24
コール,ヤクルト,2.98
小笠原　慎之介,中日,3.25
大貫　晋一,DeNA,3.32
和田　毅,ソフトバンク,3.74
高木　京介,巨人,3.33
小川　泰弘,ヤクルト,3.68
上田　洸太朗,中日,3.51
床田　寛樹,広島,3.89
鈴木　健矢,日本ハム,3.94
三嶋　一輝,DeNA,3.48
與座　海人,西武,3.66
平井　克典,西武,3.89
美馬　学,ロッテ,4.22
津森　宥紀,ソフトバンク,3.39
石川　歩,ロッテ,3.66
大関　友久,ソフトバンク,3.85
エンス,西武,3.29
木澤　尚文,ヤクルト,3.72
伊藤　大海,日本ハム,2.98
石田　健大,DeNA,3.26
ワゲスパック,オリックス,3.18
入江　大生,DeNA,3.58
梅野　雄吾,ヤクルト,2.66
山﨑　颯一郎,オリックス,3.27
内海　哲也,西武,3.58
吉田　大喜,ヤクルト,3.67
佐々木　健,西武,3.26
清水　達也,中日,3.6
東浜　巨,ソフトバンク,3.89
ターリー,広島,3.42
菅野　智之,巨人,2.75
塹江　敦哉,広島,3.0
小島　和哉,ロッテ,3.49
山﨑　伊織,巨人,3.35
畠　世周,巨人,3.94
小木田　敦也,オリックス,2.45
宮城　大弥,オリックス,1.84
森下　暢仁,広島,3.24
メルセデス,巨人,4.0
板東　湧梧,ソフトバンク,3.43
岸　孝之,楽天,3.47
松本　航,西武,4.18
上原　健太,日本ハム,3.86
ケムナ　誠,広島,2.89
京山　将弥,DeNA,2.89
益田　直也,ロッテ,3.45
スミス,西武,3.0
弓削　隼人,楽天,2.48
森浦　大輔,広島,3.12
田中　将大,楽天,3.51
酒居　知史,楽天,2.58
ケラー,阪神,2.24
池田　隆英,日本ハム,3.3
河村　説人,ロッテ,3.69
九里　亜蓮,広島,4.16
松葉　貴大,中日,4.4
ポンセ,日本ハム,2.67
玉井　大翔,日本ハム,3.33
ロメロ,ロッテ,2.92
濵口　遥大,DeNA,3.83
石川　柊太,ソフトバンク,3.85
上沢　直之,日本ハム,2.75
藤浪　晋太郎,阪神,2.65
直江　大輔,巨人,3.51
藤井　聖,楽天,4.32
池谷　蒼大,DeNA,3.23
辛島　航,楽天,3.4
根尾　昂,中日,3.27
山﨑　福也,オリックス,3.69
本田　仁海,オリックス,2.76
北山　亘基,日本ハム,3.07
ゲレーロ,ロッテ,2.88
コルニエル,広島,2.74
則本　昂大,楽天,3.83
サイスニード,ヤクルト,3.89
涌井　秀章,楽天,3.72
松本　竜也,広島,3.74
今村　信貴,巨人,3.16
遠藤　淳志,広島,3.33
アンダーソン,広島,3.09
山本　拓実,中日,2.9
生田目　翼,日本ハム,2.47
八木　彬,ロッテ,3.55
柳　裕也,中日,4.01
