player,team,pred_OPS
石原　貴規,広島,0.626
中島　大輔,楽天,0.614
アギラー,西武,0.622
二俣　翔一,広島,0.668
廣瀨　隆太,ソフトバンク,0.636
ディカーソン,中日,0.646
立岡　宗一郎,巨人,0.621
奥村　光一,西武,0.692
石上　泰輝,DeNA,0.603
宇草　孔基,広島,0.644
コルデロ,西武,0.646
ガルシア,西武,0.61
上田　希由翔,ロッテ,0.629
スティーブンソン,日本ハム,0.654
緒方　理貢,ソフトバンク,0.589
野口　恭佑,阪神,0.63
ロドリゲス,中日,0.58
井上　絢登,DeNA,0.679
松尾　汐恩,DeNA,0.634
石塚　綜一郎,ソフトバンク,0.654
横山　聖哉,オリックス,0.555
シャイナー,広島,0.676
ダウンズ,ソフトバンク,0.78
平良　竜哉,楽天,0.71
中村　健人,広島,0.611
フォード,DeNA,0.617
内藤　鵬,オリックス,0.635
笹川　吉康,ソフトバンク,0.598
辻本　倫太郎,中日,0.611
牧野　翔矢,西武,0.605
豊田　寛,阪神,0.612
久保　修,広島,0.652
トーマス,オリックス,0.633
ブランドン,西武,0.6
佐藤　啓介,広島,0.637
仲田　慶介,ソフトバンク,0.617
入江　大樹,楽天,0.632
村田　怜音,西武,0.636
尾田　剛樹,中日,0.564
田中　貴也,楽天,0.603
ウレーニャ,巨人,0.663
元　謙太,オリックス,0.624
湯浅　大,巨人,0.575
寺地　隆成,ロッテ,0.608
宮崎　一樹,日本ハム,0.685
増田　陸,巨人,0.612
レイノルズ,広島,0.63
武藤　敦貴,楽天,0.63
小森　航大郎,ヤクルト,0.595
鈴木　叶,ヤクルト,0.626
仲田　侑仁,広島,0.626
進藤　勇也,日本ハム,0.607
辰見　鴻之介,楽天,0.604
内田　湘大,広島,0.602
東妻　純平,DeNA,0.558
伊藤　琉偉,ヤクルト,0.556
岡田　雅利,西武,0.669
橋本　星哉,ヤクルト,0.606
喜多　隆介,巨人,0.647
ファビアン,広島,0.776
ネビン,西武,0.801
ボスラー,中日,0.716
キャベッジ,巨人,0.746
宗山　塁,楽天,0.578
渡部　聖弥,西武,0.707
西川　史礁,ロッテ,0.597
モンテロ,広島,0.737
ボイト,楽天,0.809
石伊　雄太,中日,0.591
山縣　秀,日本ハム,0.577
佐々木　泰,広島,0.564
髙寺　望夢,阪神,0.641
麦谷　祐介,オリックス,0.648
ディアス,オリックス,0.665
デービス,西武,0.635
チェイビス,中日,0.669
宮崎　竜成,ロッテ,0.591
山本　恵大,ソフトバンク,0.673
荒巻　悠,巨人,0.658
浦田　俊輔,巨人,0.642
中川　勇斗,阪神,0.667
前川　誠太,広島,0.661
土田　龍空,中日,0.603
山中　稜真,オリックス,0.644
渡邉　陸,ソフトバンク,0.586
オリバレス,オリックス,0.671
佐藤　太陽,西武,0.654
笹原　操希,巨人,0.627
森　駿太,中日,0.599
庄子　雄大,ソフトバンク,0.696
駿太,中日,0.642
加藤　響,DeNA,0.632
井坪　陽生,阪神,0.616
古川　雄大,西武,0.604
清水　叶人,広島,0.583
田中　陽翔,ヤクルト,0.615
吉野　創士,楽天,0.675
九鬼　隆平,DeNA,0.66
三塚　琉生,巨人,0.61
アセベド,ロッテ,0.777
齋藤　大翔,西武,0.601
モンテル,西武,0.665
仲三河　優太,西武,0.683
石塚　裕惺,巨人,0.614
勝又　温史,DeNA,0.652
渡邉　悠斗,広島,0.702
立松　由宇,ロッテ,0.653
乙坂　智,巨人,0.663
フルプ,巨人,0.655
濱　将乃介,中日,0.639
津田　啓史,中日,0.632
堀　柊那,オリックス,0.542
吉納　翼,楽天,0.621
田内　真翔,DeNA,0.571
陽　柏翔,楽天,0.542
阪口　樂,日本ハム,0.635
鈴木　大和,巨人,0.673
藤田　悠太郎,ソフトバンク,0.616
イヒネ　イツア,ソフトバンク,0.624
