ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
3.13,1.36,1.1,1.5,0.7,20.4,7.9,1.0,1.8,103.9,宮西　尚生,日本ハム,24.8,2026,40,2
2.91,1.16,2.3,2.3,3.7,42.1,15.0,1.9,3.3,194.1,松本　裕樹,ソフトバンク,46.8,2026,29,2
3.17,1.26,7.7,6.6,1.5,87.6,30.9,4.2,6.8,493.4,西野　勇士,ロッテ,120.0,2026,35,2
2.95,1.22,1.5,1.8,0.7,22.9,8.6,1.3,1.8,117.9,阿部　翔太,オリックス,28.4,2026,33,2
3.09,1.24,0.9,1.0,0.5,15.0,5.9,0.9,1.2,81.0,岩貞　祐太,阪神,19.5,2026,34,2
2.83,1.13,2.4,1.4,0.7,27.0,9.6,1.8,2.6,141.3,船迫　大雅,巨人,34.6,2026,29,2
2.87,1.21,1.5,1.5,0.8,24.5,9.8,1.2,1.7,125.9,入江　大生,DeNA,30.0,2026,27,1
2.78,1.12,9.3,6.5,1.6,108.3,38.1,7.5,9.1,608.9,山﨑　伊織,巨人,148.0,2026,27,2
2.88,1.21,2.7,2.9,2.0,43.6,18.3,2.0,3.4,222.1,木澤　尚文,ヤクルト,53.0,2026,27,2
3.02,1.22,1.3,1.1,0.5,19.3,7.7,1.0,1.7,99.7,大道　温貴,広島,23.8,2026,27,2
2.93,1.2,1.4,1.3,0.6,20.8,7.0,1.1,1.6,112.5,中﨑　翔太,広島,27.3,2026,33,2
2.95,1.13,6.2,5.2,1.5,109.1,29.6,4.7,8.1,484.1,グリフィン,巨人,118.5,2026,30,2
3.64,1.33,2.6,4.2,1.0,42.7,17.0,2.2,3.9,245.6,上原　健太,日本ハム,57.9,2026,32,2
3.05,1.25,8.2,5.8,2.3,112.9,35.7,4.5,10.5,538.7,バウアー,DeNA,130.7,2026,35,1
2.38,1.13,1.7,1.7,1.6,28.0,11.3,1.1,2.2,144.1,鈴木　昭汰,ロッテ,35.2,2026,27,2
2.84,1.25,1.5,1.3,1.1,22.9,9.4,1.2,2.0,122.0,杉浦　稔大,日本ハム,29.5,2026,34,2
2.98,1.17,7.6,6.3,2.5,140.2,35.4,4.8,12.6,606.2,今永　昇太,DeNA,148.0,2026,32,1
3.07,1.28,2.1,1.8,3.8,27.6,12.8,1.1,2.6,152.2,矢崎　拓也,広島,36.3,2026,31,2
2.97,1.26,1.6,2.1,0.9,27.5,11.8,1.5,2.0,147.3,ティノコ,西武,35.0,2026,30,1
3.1,1.14,1.8,2.1,0.7,28.6,10.4,1.5,2.9,143.0,池田　隆英,日本ハム,35.1,2026,31,2
2.95,1.19,8.8,9.0,1.6,106.1,27.6,2.7,13.2,669.7,加藤　貴之,日本ハム,165.2,2026,33,2
3.05,1.16,0.8,0.7,0.3,10.5,4.7,0.7,0.8,55.6,根本　悠楓,日本ハム,13.2,2026,23,2
3.11,1.23,2.0,2.1,0.8,31.3,11.3,1.4,3.1,176.0,宋　家豪,楽天,42.7,2026,33,2
3.28,1.23,0.8,1.0,0.4,14.9,5.7,0.7,1.4,78.5,東妻　勇輔,ロッテ,18.8,2026,29,2
2.77,1.08,6.5,5.7,1.4,82.0,32.6,6.6,9.1,465.6,大関　友久,ソフトバンク,114.8,2026,28,2
2.73,1.12,2.3,4.3,12.3,48.5,16.5,1.8,3.4,219.1,栗林　良吏,広島,53.9,2026,29,2
2.95,1.18,1.4,1.1,0.6,19.8,8.4,0.8,1.7,105.5,岩下　大輝,ロッテ,25.5,2026,29,2
3.01,1.18,5.0,5.1,1.2,60.8,23.1,3.5,5.6,343.4,大貫　晋一,DeNA,83.2,2026,32,2
3.05,1.2,9.1,9.1,2.7,128.5,46.1,5.7,12.3,700.8,上沢　直之,日本ハム,170.0,2026,32,1
2.82,1.16,1.6,2.3,1.2,27.3,12.9,1.0,2.7,158.2,青山　美夏人,西武,38.0,2026,25,2
3.33,1.2,1.4,2.7,1.0,25.5,8.4,1.1,2.4,138.4,清水　昇,ヤクルト,33.2,2026,29,2
2.95,1.25,2.7,2.4,1.0,32.9,15.3,1.5,2.0,184.9,酒居　知史,楽天,44.6,2026,33,2
3.04,1.22,2.3,4.1,1.0,42.2,19.5,3.8,3.3,239.6,ボー・タカハシ,西武,57.0,2026,29,2
3.13,1.3,1.3,1.7,0.6,21.0,10.1,1.1,1.5,122.1,漆原　大晟,阪神,28.8,2026,29,2
2.82,1.24,1.0,1.1,0.6,17.2,7.3,1.0,1.5,93.8,佐々木　千隼,DeNA,22.4,2026,31,2
2.79,1.16,8.9,8.1,1.6,102.0,35.9,5.0,8.2,586.8,森下　暢仁,広島,143.1,2026,28,2
2.84,1.14,5.4,4.9,4.4,70.9,25.8,3.8,6.7,358.3,小澤　怜史,ヤクルト,87.8,2026,28,2
3.01,1.24,4.6,4.3,1.7,62.7,27.4,3.0,5.2,345.6,板東　湧梧,ソフトバンク,83.0,2026,30,1
2.98,1.23,2.6,2.4,1.1,35.9,14.8,2.9,2.8,199.7,安樂　智大,楽天,47.3,2026,29,1
3.29,1.34,7.2,7.9,1.5,85.9,30.8,3.4,10.4,553.8,岸　孝之,楽天,133.5,2026,41,2
3.24,1.23,5.8,5.9,1.4,78.2,28.6,2.8,8.2,427.5,田嶋　大樹,オリックス,102.0,2026,29,2
2.53,1.14,2.9,2.5,1.2,45.8,18.6,1.6,2.8,218.6,清水　達也,中日,53.1,2026,26,2
2.89,1.19,0.7,0.6,0.3,8.8,3.3,0.4,0.8,47.9,北浦　竜次,日本ハム,11.5,2026,26,2
3.22,1.21,3.6,4.1,1.2,57.6,17.2,2.4,4.3,306.5,カスティーヨ,オリックス,74.9,2026,37,2
3.29,1.26,0.8,0.8,0.4,12.5,5.5,0.6,1.1,67.1,フェリス,中日,16.0,2026,32,2
3.01,1.24,1.2,1.5,0.7,19.9,8.3,1.1,1.6,107.5,メネズ,日本ハム,25.7,2026,30,1
3.14,1.27,0.3,0.3,0.2,4.1,1.6,0.2,0.3,21.7,鍵谷　陽平,日本ハム,5.2,2026,35,2
3.49,1.29,1.8,1.8,0.8,33.5,13.1,2.2,2.9,166.1,坂本　光士郎,ロッテ,39.3,2026,31,2
3.17,1.24,5.6,5.3,2.0,74.2,26.9,4.1,6.9,416.6,ピーターズ,ヤクルト,100.7,2026,33,1
3.07,1.19,2.4,2.8,1.1,32.2,11.2,1.4,3.5,165.6,伊勢　大夢,DeNA,40.0,2026,28,2
3.63,1.38,3.7,3.4,1.0,45.7,16.2,2.3,4.4,239.7,和田　毅,ソフトバンク,57.9,2026,45,2
3.17,1.22,0.6,0.6,0.3,10.8,4.5,0.5,1.1,58.1,吉田　凌,ロッテ,13.8,2026,28,2
2.98,1.18,3.7,3.1,1.1,47.4,18.9,2.9,4.9,284.0,アドゥワ　誠,広島,67.9,2026,27,2
3.23,1.22,9.3,6.3,1.6,88.9,32.1,4.7,11.3,576.2,山﨑　福也,日本ハム,140.2,2026,33,2
2.95,1.18,0.5,0.5,0.2,7.1,2.9,0.3,0.7,37.9,松井　颯,巨人,9.0,2026,25,2
3.03,1.2,0.6,0.6,0.3,9.5,4.3,0.7,0.8,53.3,伊藤　茉央,楽天,12.7,2026,25,2
3.23,1.26,3.8,4.7,1.2,49.5,21.5,2.3,5.0,320.5,松葉　貴大,中日,78.0,2026,35,2
2.74,1.17,2.2,1.8,1.2,40.2,16.9,1.8,2.7,191.8,鈴木　翔天,楽天,46.5,2026,29,2
3.27,1.23,0.6,0.7,0.3,9.3,3.9,0.4,0.7,49.6,阪口　皓亮,ヤクルト,11.8,2026,26,2
3.05,1.19,5.1,7.4,1.7,84.4,35.4,3.0,9.2,498.9,メルセデス,ロッテ,122.0,2026,32,2
3.4,1.22,3.1,3.5,1.1,51.9,24.0,2.3,4.4,269.3,荘司　康誠,楽天,64.0,2026,25,2
2.64,1.15,8.8,5.7,1.5,90.3,24.1,4.0,7.7,493.4,菅野　智之,巨人,122.8,2026,36,2
3.63,1.26,5.3,5.8,1.3,67.2,23.4,2.6,7.9,400.8,小川　泰弘,ヤクルト,97.1,2026,35,2
2.59,1.16,6.0,5.1,1.4,84.4,39.4,3.5,6.4,423.3,スチュワート・ジュニア,ソフトバンク,101.7,2026,26,2
3.19,1.28,1.9,1.7,1.0,32.9,13.2,1.5,2.9,160.9,星　知弥,ヤクルト,38.5,2026,31,2
3.06,1.22,0.8,0.7,0.4,11.7,4.8,0.6,0.9,66.4,梅野　雄吾,中日,15.8,2026,27,2
2.84,1.14,0.5,0.6,0.3,7.9,3.0,0.3,0.6,43.1,門別　啓人,阪神,10.3,2026,21,2
2.99,1.11,3.4,4.9,1.1,54.4,16.8,2.8,5.6,294.1,赤星　優志,巨人,72.4,2026,26,2
2.96,1.16,2.8,2.8,1.3,40.6,14.5,1.6,3.2,196.8,菊地　大稀,巨人,47.7,2026,26,1
2.77,1.11,4.7,3.4,1.2,65.9,26.1,2.8,5.7,305.7,北山　亘基,日本ハム,75.0,2026,26,2
3.05,1.16,8.1,7.6,1.6,136.6,41.5,7.1,8.4,593.5,種市　篤暉,ロッテ,142.8,2026,27,2
2.9,1.13,8.8,9.5,1.6,136.1,40.9,5.1,10.7,651.6,隅田　知一郎,西武,158.6,2026,26,2
2.81,1.17,8.3,6.8,1.5,118.4,35.2,3.5,10.3,572.8,早川　隆久,楽天,138.8,2026,27,2
2.94,1.14,10.3,7.8,1.7,142.7,43.1,5.5,12.0,686.0,伊藤　大海,日本ハム,166.5,2026,28,2
3.34,1.21,10.3,8.4,1.6,124.7,46.0,6.4,13.1,666.2,小島　和哉,ロッテ,161.2,2026,29,2
3.32,1.23,3.9,6.7,1.3,65.0,31.7,3.3,9.0,369.7,松本　航,西武,87.9,2026,29,2
