AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age
0.248,0.295,0.32,0.607,1.2,11.8,3.4,10.1,25.4,38.4,鈴木　将平,西武,177,2025,26
0.251,0.304,0.321,0.626,2.4,17.8,5.3,17.7,38.4,66.3,関根　大気,DeNA,293,2025,29
0.224,0.288,0.338,0.635,4.8,22.3,1.9,17.6,50.4,46.6,マルモレホス,楽天,223,2025,32
0.218,0.297,0.319,0.617,1.8,11.2,5.8,14.3,30.4,30.2,山﨑　剛,楽天,159,2025,29
0.29,0.361,0.471,0.835,14.9,55.5,2.3,41.7,94.4,110.8,サンタナ,ヤクルト,427,2025,30
0.244,0.308,0.318,0.601,0.6,4.7,0.6,4.6,13.5,11.9,松川　虎生,ロッテ,61,2025,21
0.233,0.314,0.342,0.662,3.6,18.5,1.8,19.1,45.3,44.4,マッカーシー,オリックス,212,2025,31
0.224,0.298,0.356,0.668,5.3,21.2,1.8,17.7,43.4,44.6,ロハス・ジュニア,阪神,211,2025,34
0.221,0.297,0.355,0.649,2.6,8.9,3.0,8.5,26.8,19.9,野村　勇,ソフトバンク,103,2025,28
0.242,0.299,0.313,0.619,2.1,13.4,2.1,13.4,35.4,41.4,山本　泰寛,中日,188,2025,31
0.226,0.291,0.331,0.639,3.3,21.9,2.0,17.6,37.1,48.8,岡島　豪郎,楽天,225,2025,35
0.216,0.299,0.29,0.595,0.7,4.8,0.9,7.6,14.5,16.2,柴田　竜拓,DeNA,86,2025,31
0.254,0.314,0.366,0.659,2.8,14.6,1.7,11.1,30.2,33.8,内山　壮真,ヤクルト,161,2025,22
0.228,0.278,0.335,0.601,1.7,7.4,0.9,4.9,23.2,18.0,鵜飼　航丞,中日,91,2025,25
0.238,0.283,0.338,0.621,4.3,18.6,2.0,13.8,53.9,59.2,若月　健矢,オリックス,279,2025,29
0.227,0.303,0.322,0.622,2.9,19.2,1.9,18.9,48.8,43.9,太田　光,楽天,235,2025,28
0.199,0.264,0.293,0.599,2.9,17.6,1.7,14.1,31.8,39.2,糸井　嘉男,阪神,182,2025,43
0.25,0.317,0.342,0.653,2.2,11.1,2.8,10.8,33.9,36.1,蝦名　達夫,DeNA,168,2025,27
0.221,0.28,0.331,0.614,3.2,14.4,2.0,11.8,41.5,36.4,ヌニエス,日本ハム,180,2025,30
0.254,0.305,0.342,0.668,4.8,32.9,5.3,27.6,76.6,112.7,秋山　翔吾,広島,449,2025,36
0.262,0.317,0.345,0.644,1.2,7.1,3.5,9.0,26.5,29.0,森　敬斗,DeNA,130,2025,23
0.241,0.299,0.301,0.597,1.0,10.2,1.0,9.2,20.8,26.6,渡邊　佳明,楽天,125,2025,28
0.228,0.287,0.308,0.61,1.3,9.5,0.9,8.5,19.4,26.6,谷内　亮太,日本ハム,122,2025,34
0.241,0.308,0.338,0.634,1.7,9.8,1.5,9.9,34.8,28.6,野口　智哉,オリックス,140,2025,25
0.203,0.255,0.292,0.578,1.4,15.3,0.7,8.4,21.0,26.6,松山　竜平,広島,126,2025,39
0.239,0.309,0.35,0.665,1.5,7.6,0.8,7.0,18.2,18.4,川越　誠司,中日,84,2025,31
0.238,0.293,0.323,0.618,0.9,7.1,1.3,6.0,17.3,20.0,溝脇　隼人,中日,93,2025,30
0.258,0.323,0.373,0.681,1.2,5.5,0.8,4.6,12.8,13.6,増田　陸,巨人,62,2025,24
0.252,0.305,0.323,0.622,1.0,8.9,1.3,8.2,24.3,29.4,茶谷　健太,ロッテ,133,2025,27
0.223,0.295,0.312,0.616,0.8,6.3,0.8,6.4,16.4,15.7,三ツ俣　大樹,ヤクルト,78,2025,32
0.229,0.279,0.358,0.653,3.6,15.5,1.1,10.1,36.7,38.4,大田　泰示,DeNA,172,2025,34
0.233,0.283,0.341,0.639,2.5,12.0,0.8,8.4,23.8,31.4,戸柱　恭孝,DeNA,138,2025,34
0.221,0.284,0.269,0.558,1.1,15.3,0.9,15.1,42.4,44.5,坂本　誠志郎,阪神,225,2025,31
0.22,0.277,0.294,0.585,0.6,4.8,3.1,4.6,12.4,13.7,中島　卓也,日本ハム,65,2025,34
0.242,0.296,0.361,0.642,2.8,11.6,1.6,9.1,29.2,29.1,濱田　太貴,ヤクルト,141,2025,24
0.229,0.29,0.299,0.592,2.1,17.3,2.7,16.4,36.5,47.8,京田　陽太,DeNA,230,2025,30
0.264,0.315,0.335,0.629,0.8,5.7,1.9,6.5,20.4,23.2,中山　礼都,巨人,104,2025,22
0.268,0.316,0.399,0.697,6.6,29.2,1.0,17.6,48.1,70.1,石川　昂弥,中日,304,2025,23
0.247,0.312,0.381,0.717,4.1,22.0,1.3,17.9,38.2,49.7,角中　勝也,ロッテ,206,2025,37
0.24,0.293,0.344,0.63,1.3,5.5,0.6,4.3,13.5,13.9,中村　健人,広島,66,2025,27
0.247,0.323,0.316,0.638,1.1,9.1,1.2,11.5,22.6,30.5,宮本　丈,ヤクルト,143,2025,29
0.214,0.278,0.328,0.638,2.5,14.0,1.5,11.0,28.8,29.6,長野　久義,巨人,133,2025,40
0.245,0.295,0.331,0.623,0.7,5.3,0.5,4.0,13.6,14.9,太田　賢吾,ヤクルト,68,2025,28
0.251,0.308,0.321,0.644,1.3,12.6,1.7,14.9,23.8,49.5,西野　真弘,オリックス,208,2025,34
0.204,0.274,0.292,0.585,1.1,6.1,0.7,5.8,15.2,14.9,ガルビス,ソフトバンク,75,2025,35
0.215,0.282,0.286,0.574,0.6,4.1,3.3,4.5,12.2,11.5,重信　慎之介,巨人,58,2025,31
0.217,0.276,0.299,0.589,1.5,7.5,2.0,8.5,23.0,25.5,金子　侑司,西武,121,2025,34
0.216,0.27,0.316,0.604,2.0,11.5,1.5,8.5,26.4,27.0,ジャンセン・ウィティ,西武,128,2025,35
0.225,0.292,0.321,0.625,1.8,9.7,1.3,10.1,20.2,26.8,バレラ,オリックス,127,2025,33
0.269,0.329,0.358,0.672,2.6,18.5,5.0,18.8,47.9,59.3,藤原　恭大,ロッテ,262,2025,24
0.226,0.286,0.333,0.628,0.8,4.3,0.4,3.1,8.9,9.8,磯村　嘉孝,広島,46,2025,32
0.237,0.285,0.339,0.621,0.7,3.6,1.3,2.5,8.4,9.0,佐野　皓大,オリックス,43,2025,28
0.219,0.266,0.294,0.553,0.9,7.1,0.6,4.7,18.5,18.0,柘植　世那,西武,94,2025,27
0.197,0.263,0.289,0.591,0.5,4.0,0.4,2.9,8.3,8.5,中島　宏之,中日,40,2025,42
0.238,0.307,0.344,0.657,0.8,4.9,0.7,4.0,9.4,11.0,大城　滉二,オリックス,52,2025,31
0.214,0.276,0.3,0.591,1.3,8.0,1.1,7.9,20.1,22.3,杉谷　拳士,日本ハム,109,2025,34
0.244,0.301,0.331,0.624,0.5,3.1,0.4,3.1,9.1,9.2,古川　裕大,日本ハム,44,2025,26
0.213,0.279,0.311,0.596,0.6,4.3,1.3,3.8,12.4,10.8,神里　和毅,DeNA,55,2025,31
0.257,0.305,0.332,0.631,1.0,11.9,2.0,9.4,25.4,35.3,川瀬　晃,ソフトバンク,161,2025,27
0.194,0.251,0.281,0.567,0.7,4.3,0.7,3.7,10.4,11.4,松田　宣浩,巨人,55,2025,41
0.243,0.33,0.362,0.689,4.1,20.9,1.4,27.6,48.0,52.6,佐藤　龍世,西武,256,2025,28
0.219,0.275,0.306,0.599,1.3,10.6,0.7,7.7,26.3,26.6,伊藤　光,DeNA,124,2025,35
0.237,0.299,0.328,0.639,1.5,9.2,1.1,7.5,18.6,22.6,マルテ,阪神,102,2025,33
0.236,0.297,0.305,0.606,2.0,29.9,1.4,25.1,65.4,74.2,木浪　聖也,阪神,352,2025,30
0.214,0.27,0.319,0.61,0.7,3.8,0.5,2.9,9.9,9.4,木村　文紀,日本ハム,44,2025,36
0.279,0.335,0.394,0.713,3.3,19.3,2.0,14.1,36.0,47.9,太田　椋,オリックス,202,2025,24
0.232,0.284,0.319,0.603,1.1,7.9,1.1,6.0,21.1,21.2,上林　誠知,中日,100,2025,29
0.249,0.304,0.337,0.626,0.5,4.4,4.0,3.5,10.3,11.1,羽月　隆太郎,広島,53,2025,24
0.265,0.327,0.371,0.679,0.6,3.4,0.5,2.9,8.3,8.9,武藤　敦貴,楽天,40,2025,23
0.245,0.309,0.354,0.657,1.6,7.2,1.4,5.3,17.8,17.8,宇草　孔基,広島,84,2025,27
0.25,0.31,0.315,0.614,1.2,11.8,3.8,12.6,34.8,38.4,丸山　和郁,ヤクルト,183,2025,25
0.196,0.256,0.283,0.563,0.5,3.6,0.4,3.0,8.6,8.2,Ｔ－岡田,オリックス,42,2025,37
0.232,0.279,0.33,0.6,1.4,6.2,1.9,4.2,18.9,16.8,若林　楽人,巨人,83,2025,26
0.238,0.303,0.322,0.622,0.5,3.9,0.5,3.8,9.8,10.4,山田　遥楓,楽天,50,2025,28
0.23,0.291,0.33,0.627,0.7,3.7,0.5,3.4,8.7,9.8,菅野　剛士,ロッテ,46,2025,31
0.187,0.246,0.269,0.532,0.9,5.7,0.8,4.9,13.4,14.1,小林　誠司,巨人,77,2025,35
0.248,0.302,0.328,0.606,0.9,5.3,1.3,5.4,17.2,17.0,滝澤　夏央,西武,86,2025,21
0.227,0.289,0.314,0.609,0.6,4.1,0.6,3.7,9.9,10.2,若林　晃弘,巨人,49,2025,31
0.259,0.317,0.353,0.664,1.3,8.2,1.8,8.2,20.2,27.0,平沼　翔太,西武,119,2025,27
0.228,0.282,0.358,0.658,2.2,8.6,0.9,5.6,16.8,19.3,キブレハン,ヤクルト,87,2025,35
0.215,0.278,0.314,0.617,1.3,7.6,0.9,6.2,15.9,17.7,平田　良介,中日,83,2025,37
0.227,0.282,0.33,0.609,3.8,16.9,2.9,12.3,35.7,43.7,岸　潤一郎,西武,216,2025,28
0.237,0.302,0.348,0.662,1.4,7.0,0.7,5.0,12.5,14.8,原口　文仁,阪神,66,2025,33
0.25,0.342,0.339,0.686,3.0,21.2,2.7,34.7,51.5,65.3,藤岡　裕大,ロッテ,301,2025,31
0.262,0.32,0.395,0.703,3.1,13.3,1.0,9.2,32.5,33.5,正木　智也,ソフトバンク,148,2025,25
0.254,0.3,0.406,0.703,6.3,24.2,1.1,9.6,47.6,45.5,末包　昇大,広島,195,2025,28
0.252,0.318,0.327,0.636,2.1,19.6,6.6,21.6,59.0,58.1,矢野　雅哉,広島,274,2025,26
0.24,0.315,0.291,0.597,1.1,11.4,4.6,14.1,28.6,31.1,小川　龍成,ロッテ,158,2025,26
0.256,0.315,0.343,0.649,1.0,5.5,0.7,5.6,12.4,17.3,古賀　優大,ヤクルト,79,2025,26
0.228,0.287,0.327,0.612,0.8,4.6,1.3,3.7,12.4,11.6,大盛　穂,広島,57,2025,28
0.196,0.256,0.281,0.54,0.5,4.1,0.8,3.7,12.0,9.5,松原　聖弥,巨人,53,2025,30
0.255,0.319,0.36,0.673,0.4,3.4,0.6,2.8,7.6,8.5,谷川原　健太,ソフトバンク,38,2025,27
0.225,0.291,0.323,0.626,0.6,3.3,0.4,2.9,8.8,8.9,陽川　尚将,西武,42,2025,33
0.249,0.312,0.378,0.675,2.3,12.0,1.2,9.8,27.5,27.3,野村　大樹,ソフトバンク,131,2025,24
0.252,0.298,0.366,0.648,0.8,5.0,0.5,3.1,9.5,12.0,石橋　康太,中日,56,2025,24
0.232,0.286,0.332,0.61,0.6,2.4,0.4,2.0,6.5,6.3,石垣　雅海,中日,31,2025,26
0.24,0.311,0.332,0.649,1.0,6.6,0.8,6.3,15.3,16.1,ギッテンス,楽天,74,2025,31
0.26,0.321,0.341,0.647,1.1,8.3,1.6,7.9,21.7,22.7,小幡　竜平,阪神,105,2025,24
0.239,0.306,0.319,0.613,2.6,14.8,1.2,17.7,44.7,45.2,古賀　悠斗,西武,228,2025,25
0.221,0.297,0.32,0.626,1.1,5.5,0.8,6.0,14.0,14.5,ラベロ,オリックス,71,2025,32
0.251,0.309,0.345,0.635,0.8,4.4,0.4,3.6,9.1,10.7,黒川　史陽,楽天,51,2025,23
0.205,0.268,0.307,0.578,0.8,3.5,1.2,3.3,10.1,8.4,田中　和基,楽天,45,2025,30
0.203,0.257,0.291,0.56,0.9,5.0,0.6,3.8,12.9,12.2,ロドリゲス,中日,63,2025,33
0.228,0.288,0.325,0.601,0.8,3.7,0.5,3.4,13.4,10.3,リチャード,ソフトバンク,53,2025,25
0.236,0.304,0.323,0.606,2.4,10.8,4.5,12.7,33.5,35.0,長谷川　信哉,西武,183,2025,22
0.241,0.294,0.321,0.612,0.5,3.4,0.5,2.7,8.5,9.1,清水　優心,日本ハム,43,2025,28
0.25,0.305,0.349,0.646,1.0,5.3,0.7,4.4,14.6,14.3,レビーラ,中日,66,2025,26
