ERA,WHIP,W,L,SV,SO,player,team,IP,target_year,age
3.07,1.21,0.5,0.5,0.3,7.1,望月　大希,日本ハム,9.0,2025,27
3.21,1.23,0.4,0.5,0.2,6.9,高田　孝一,楽天,9.1,2025,26
2.97,1.18,0.3,0.3,0.1,3.9,髙田　萌生,楽天,5.0,2025,26
2.46,1.16,1.4,1.6,1.3,22.8,鈴木　昭汰,ロッテ,29.1,2025,26
3.45,1.18,0.6,0.8,0.3,9.7,市川　悠太,ヤクルト,13.1,2025,24
2.99,1.15,0.4,0.4,0.2,5.3,金久保　優斗,ヤクルト,6.9,2025,25
2.72,1.2,1.6,0.9,0.6,21.3,山本　大貴,ヤクルト,26.4,2025,29
3.21,1.21,1.4,1.0,0.5,18.3,中村　稔弥,ロッテ,25.0,2025,28
3.25,1.23,0.5,0.5,0.3,8.9,吉田　凌,ロッテ,11.2,2025,27
3.11,1.23,0.2,0.2,0.1,2.6,フランスア,広島,3.3,2025,31
3.58,1.38,0.7,0.8,0.4,10.6,田中　靖洋,ロッテ,14.0,2025,37
2.74,1.14,0.7,0.7,0.4,14.3,石川　達也,DeNA,17.8,2025,26
3.26,1.28,0.3,0.4,0.2,4.9,中村　勝,オリックス,6.3,2025,33
3.68,1.32,0.5,0.5,0.3,8.5,宮國　椋丞,DeNA,11.1,2025,32
4.13,1.41,2.2,2.2,0.6,25.5,福谷　浩司,中日,35.8,2025,34
3.26,1.27,0.3,0.4,0.2,4.7,岡田　俊哉,中日,6.0,2025,33
3.53,1.26,0.9,0.9,0.4,12.0,松井　友飛,楽天,16.7,2025,25
3.38,1.24,0.4,0.6,0.2,7.7,阪口　皓亮,ヤクルト,9.7,2025,25
3.07,1.15,6.1,5.7,1.0,104.8,種市　篤暉,ロッテ,107.7,2025,26
3.48,1.29,0.3,0.4,0.2,4.9,尾仲　祐哉,ヤクルト,6.6,2025,30
2.66,1.12,1.4,1.4,0.5,20.4,及川　雅貴,阪神,24.6,2025,23
2.96,1.2,0.1,0.1,0.0,1.3,柴田　大地,ヤクルト,1.6,2025,27
2.78,1.12,0.1,0.1,0.0,0.8,小林　樹斗,広島,1.0,2025,22
2.85,1.18,0.7,0.7,0.3,10.9,田浦　文丸,ソフトバンク,14.0,2025,25
2.63,1.22,1.6,1.1,0.5,24.0,橋本　侑樹,中日,28.9,2025,27
3.3,1.27,0.4,0.5,0.2,5.8,ビエイラ,巨人,7.3,2025,32
3.32,1.21,0.4,0.5,0.2,6.2,立野　和明,日本ハム,8.0,2025,26
3.57,1.23,1.1,1.5,0.5,17.5,森　遼大朗,ロッテ,22.3,2025,25
3.34,1.2,0.2,0.2,0.1,3.2,三浦　銀二,DeNA,4.1,2025,25
3.19,1.2,0.5,0.5,0.2,7.5,富山　凌雅,オリックス,9.6,2025,27
3.19,1.24,0.2,0.2,0.1,3.1,佐藤　優,中日,4.0,2025,31
3.1,1.21,0.2,0.2,0.1,2.3,マルク,中日,3.0,2025,29
3.82,1.25,0.9,1.0,0.4,13.9,岡野　祐一郎,中日,17.9,2025,30
3.68,1.32,1.1,1.4,0.5,16.1,高橋　礼,巨人,24.2,2025,29
3.28,1.29,0.1,0.1,0.1,1.6,秋吉　亮,ソフトバンク,2.0,2025,36
3.47,1.26,0.5,0.4,0.2,6.6,桜井　俊貴,巨人,8.3,2025,31
3.27,1.28,0.2,0.2,0.1,2.4,ピープルズ,DeNA,3.0,2025,33
2.95,1.15,2.4,2.7,0.7,26.1,横川　凱,巨人,40.8,2025,24
2.77,1.15,0.1,0.2,0.1,2.3,松浦　慶斗,日本ハム,2.9,2025,21
3.15,1.21,0.1,0.1,0.1,1.8,宮台　康平,ヤクルト,2.3,2025,29
2.93,1.13,1.8,1.6,1.2,26.1,横山　陸人,ロッテ,30.8,2025,23
3.38,1.23,0.1,0.1,0.0,1.3,中村　亮太,ソフトバンク,1.6,2025,26
3.58,1.35,0.9,0.9,0.5,15.9,岩嵜　翔,中日,20.0,2025,35
2.88,1.1,1.2,1.3,0.5,17.5,齋藤　響介,オリックス,22.7,2025,20
2.88,1.18,0.5,0.5,0.2,6.6,矢澤　宏太,日本ハム,8.3,2025,24
2.91,1.15,0.2,0.2,0.1,2.9,前　佑囲斗,オリックス,3.7,2025,23
2.07,1.05,2.7,2.5,17.7,49.7,マルティネス,中日,53.0,2025,32
2.9,1.18,0.7,0.8,0.5,12.1,豆田　泰志,西武,15.5,2025,22
3.19,1.22,2.2,3.7,0.8,42.1,梅津　晃大,中日,51.4,2025,28
2.91,1.23,1.2,0.9,0.6,14.0,澤田　圭佑,ロッテ,18.5,2025,30
2.17,1.07,2.1,2.3,0.8,43.1,松山　晋也,中日,45.9,2025,24
2.76,1.15,1.2,1.0,0.7,18.1,岡留　英貴,阪神,24.2,2025,25
2.93,1.2,0.9,1.0,0.5,15.0,中村　祐太,西武,20.9,2025,29
2.48,1.09,5.0,4.4,1.0,77.0,山下　舜平大,オリックス,77.8,2025,22
3.0,1.2,0.5,0.4,0.2,7.8,益田　武尚,広島,9.5,2025,26
2.87,1.18,0.7,0.7,0.3,10.5,高野　脩汰,ロッテ,13.0,2025,26
2.55,1.18,1.9,1.9,1.3,34.1,ウェンデルケン,DeNA,41.1,2025,32
2.79,1.26,2.0,2.1,2.5,35.0,バルドナード,巨人,38.2,2025,32
2.83,1.26,1.4,1.2,0.8,21.6,Ｋ．ケラー,阪神,26.3,2025,31
2.38,1.01,8.2,8.6,1.3,128.0,村上　頌樹,阪神,149.5,2025,26
2.46,1.04,4.7,4.2,1.1,65.9,金村　尚真,日本ハム,86.7,2025,24
3.0,1.24,2.2,2.6,0.7,32.8,メンデス,巨人,41.1,2025,34
3.27,1.24,1.1,1.8,2.3,20.5,中川　皓太,巨人,26.1,2025,31
2.49,1.18,1.7,1.8,1.7,29.3,ペルドモ,オリックス,38.1,2025,31
2.69,1.13,4.0,2.9,0.9,53.8,ビーズリー,阪神,60.8,2025,29
3.83,1.33,3.2,4.1,0.9,42.9,メヒア,中日,61.7,2025,39
2.69,1.15,0.8,0.7,0.5,12.4,菊地　吏玖,ロッテ,15.1,2025,24
2.88,1.11,4.9,5.0,1.1,52.1,内　星龍,楽天,86.1,2025,22
2.61,1.1,11.1,6.8,1.4,112.5,有原　航平,ソフトバンク,155.1,2025,32
3.01,1.22,0.6,0.6,0.3,9.2,ブルワー,阪神,11.3,2025,32
2.73,1.14,4.6,2.5,1.0,38.9,渡辺　翔太,楽天,47.9,2025,24
2.77,1.08,4.7,4.2,1.1,64.3,大津　亮介,ソフトバンク,84.4,2025,26
2.96,1.24,1.3,1.3,0.6,16.3,マーベル,日本ハム,21.7,2025,31
2.78,1.1,2.4,1.4,0.7,27.0,船迫　大雅,巨人,34.4,2025,28
2.92,1.11,6.1,5.1,1.2,110.8,グリフィン,巨人,118.6,2025,29
3.01,1.23,8.4,5.6,2.0,114.9,バウアー,DeNA,130.7,2025,34
2.94,1.26,1.5,2.1,0.8,27.6,ティノコ,西武,35.0,2025,29
2.78,1.15,1.5,2.3,1.2,27.1,青山　美夏人,西武,38.3,2025,24
3.12,1.31,1.2,1.7,0.6,20.6,漆原　大晟,阪神,28.6,2025,28
3.19,1.18,3.5,4.1,1.0,57.0,カスティーヨ,オリックス,74.2,2025,36
3.3,1.25,0.8,0.8,0.4,12.5,フェリス,中日,16.0,2025,31
3.16,1.23,5.7,5.3,1.8,73.4,ピーターズ,ヤクルト,100.7,2025,32
2.96,1.17,3.7,2.9,1.0,45.7,アドゥワ　誠,広島,66.5,2025,26
2.94,1.18,0.5,0.5,0.2,7.4,松井　颯,巨人,9.3,2025,24
3.04,1.19,0.7,0.6,0.3,9.6,伊藤　茉央,楽天,12.9,2025,24
3.43,1.22,3.1,3.5,1.0,53.3,荘司　康誠,楽天,65.2,2025,24
2.54,1.15,6.0,5.1,1.2,84.4,スチュワート・ジュニア,ソフトバンク,101.0,2025,25
2.83,1.14,0.5,0.6,0.3,7.8,門別　啓人,阪神,10.2,2025,20
2.83,1.15,2.5,2.1,0.8,35.7,平良　拳太郎,DeNA,42.9,2025,29
2.76,1.12,1.4,1.3,0.5,16.0,中森　俊介,ロッテ,22.4,2025,22
2.63,1.15,4.3,5.8,1.1,70.6,曽谷　龍平,オリックス,80.6,2025,24
3.04,1.14,0.4,0.4,0.2,6.8,宮城　滝太,DeNA,8.4,2025,24
3.28,1.28,2.0,3.5,1.3,38.0,ビーディ,巨人,49.7,2025,31
2.58,1.15,1.3,1.1,0.6,23.1,丸山　翔大,ヤクルト,29.3,2025,26
3.37,1.38,0.3,0.4,0.2,5.1,ロペス,巨人,6.7,2025,41
3.1,1.21,0.6,0.6,0.3,8.5,田中　豊樹,巨人,11.0,2025,31
3.8,1.23,2.1,2.7,0.7,28.4,山野　太一,ヤクルト,39.5,2025,26
3.21,1.25,6.3,5.4,1.2,82.6,吉村　貢司郎,ヤクルト,103.7,2025,27
2.46,1.06,1.2,1.4,0.6,19.7,富田　蓮,阪神,26.9,2025,23
3.55,1.34,2.0,2.0,1.3,26.1,澤村　拓一,ロッテ,34.1,2025,36
3.22,1.2,1.0,1.3,0.4,15.9,仲地　礼亜,中日,19.8,2025,24
2.95,1.15,0.8,0.8,0.4,13.2,代木　大和,巨人,16.7,2025,21
3.16,1.24,0.3,0.3,0.1,3.9,エスピナル,ヤクルト,5.0,2025,33
2.96,1.18,0.2,0.2,0.1,2.6,成田　翔,ヤクルト,3.3,2025,27
3.16,1.17,0.9,1.0,0.4,14.5,田中　千晴,巨人,16.7,2025,24
3.41,1.28,1.0,1.0,0.5,15.1,コットン,オリックス,18.3,2025,33
3.28,1.23,0.9,0.8,0.4,13.5,宮内　春輝,日本ハム,16.7,2025,28
3.59,1.25,1.4,1.4,0.7,22.0,鈴木　康平,巨人,27.3,2025,31
2.94,1.13,0.7,0.7,0.3,9.4,松本　晴,ソフトバンク,11.7,2025,24
3.01,1.19,0.2,0.2,0.1,2.9,横山　楓,オリックス,3.7,2025,27
3.03,1.2,0.1,0.1,0.1,1.8,小孫　竜二,楽天,2.3,2025,27
3.34,1.28,0.2,0.2,0.1,3.1,塩見　貴洋,楽天,4.0,2025,36
3.0,1.19,0.1,0.1,0.0,0.8,北村　拓己,巨人,1.0,2025,29
3.11,1.2,0.7,0.7,0.5,12.0,河野　佳,広島,14.7,2025,23
3.25,1.23,0.3,0.3,0.2,4.7,ニックス,オリックス,6.0,2025,29
2.97,1.14,0.2,0.2,0.1,2.6,福島　章太,中日,3.3,2025,22
2.95,1.18,0.2,0.2,0.1,3.8,堀岡　隼人,DeNA,4.8,2025,26
3.24,1.22,0.7,0.6,0.3,10.1,長谷川　宙輝,ヤクルト,12.6,2025,26
2.81,1.14,1.5,1.5,1.0,26.6,ヘルナンデス,ソフトバンク,27.0,2025,28
3.32,1.23,0.1,0.1,0.0,0.8,近藤　廉,中日,1.0,2025,26
3.47,1.29,0.0,0.0,0.0,0.5,バニュエロス,楽天,0.7,2025,34
2.72,1.14,0.4,0.4,0.2,5.4,長谷部　銀次,広島,7.0,2025,26
2.68,1.1,0.4,0.3,0.2,4.7,前田　純,ソフトバンク,6.0,2025,24
2.73,1.16,0.3,0.3,0.1,3.9,三浦　瑞樹,ソフトバンク,5.0,2025,25
2.74,1.14,0.2,0.2,0.1,3.5,ディアス,DeNA,4.7,2025,25
2.6,1.09,0.2,0.2,0.1,2.3,杉山　遙希,西武,3.0,2025,19
2.74,1.12,0.1,0.1,0.1,1.6,髙　太一,広島,2.0,2025,23
2.79,1.13,0.1,0.1,0.0,0.8,大谷　輝龍,ロッテ,1.0,2025,24
2.85,1.15,0.1,0.1,0.0,0.8,高橋　昂也,広島,1.0,2025,26
2.64,1.09,0.1,0.1,0.0,0.8,坂井　陽翔,楽天,1.0,2025,19
2.64,1.08,0.1,0.1,0.0,0.8,日當　直喜,楽天,1.0,2025,19
2.79,1.14,0.1,0.1,0.0,0.8,川原　陸,阪神,1.0,2025,24
2.85,1.15,0.1,0.1,0.0,0.8,佐藤　蓮,阪神,1.0,2025,26
2.27,1.1,2.3,2.1,1.0,37.6,古田島　成龍,オリックス,45.7,2025,25
2.8,1.17,0.4,0.4,0.2,6.8,伊藤　優輔,巨人,8.7,2025,28
2.74,1.16,0.7,0.7,0.5,12.0,ザバラ,日本ハム,15.0,2025,28
2.61,1.1,1.5,1.7,1.2,27.0,ハーン,広島,35.0,2025,30
2.75,1.13,0.3,0.3,0.2,4.8,木村　光,ソフトバンク,6.0,2025,24
2.68,1.12,2.1,1.5,0.7,24.1,髙橋　遥人,阪神,29.7,2025,29
2.5,1.13,2.4,3.4,5.7,46.1,ゲラ,阪神,58.0,2025,29
2.99,1.29,0.6,0.5,0.3,8.8,ダイクストラ,ロッテ,11.0,2025,34
2.54,1.06,1.1,1.1,0.5,15.8,田中　晴也,ロッテ,20.0,2025,20
2.73,1.16,3.5,2.9,8.2,46.6,マチャド,オリックス,53.3,2025,31
2.38,1.01,9.0,6.8,1.9,109.8,武内　夏暉,西武,145.3,2025,23
2.76,1.13,0.2,0.2,0.1,3.2,滝田　一希,広島,4.0,2025,23
2.96,1.26,2.5,3.3,9.1,36.7,アブレイユ,西武,49.0,2025,35
2.75,1.19,1.5,1.5,0.7,20.7,徳山　壮磨,DeNA,29.3,2025,25
2.74,1.17,0.6,0.5,0.3,8.4,常廣　羽也斗,広島,11.0,2025,23
2.95,1.25,3.1,2.0,1.2,39.1,ウィック,DeNA,45.0,2025,32
2.73,1.21,7.1,8.1,1.8,108.8,エスピノーザ,オリックス,133.7,2025,27
2.74,1.14,1.1,1.1,0.6,17.0,上田　大河,西武,23.3,2025,23
2.7,1.13,0.9,1.1,0.4,12.5,羽田　慎之介,西武,16.3,2025,21
3.16,1.25,7.9,7.3,1.9,116.6,ジャクソン,DeNA,143.0,2025,37
3.16,1.23,2.5,2.5,1.0,39.0,バーヘイゲン,日本ハム,49.0,2025,34
2.84,1.12,1.4,1.4,0.7,21.8,大山　凌,ソフトバンク,27.7,2025,23
3.03,1.19,1.8,2.1,0.9,30.1,マーフィー,日本ハム,38.7,2025,29
3.06,1.23,5.9,8.5,1.8,92.0,ヤフーレ,ヤクルト,129.3,2025,26
2.88,1.14,0.7,0.6,0.3,8.4,澤柳　亮太郎,ソフトバンク,10.7,2025,25
3.24,1.28,6.6,8.2,1.9,113.1,ケイ,DeNA,136.7,2025,30
2.83,1.1,0.7,0.7,0.4,10.1,岩井　俊介,ソフトバンク,13.0,2025,23
2.79,1.15,0.5,0.6,0.3,7.6,川瀬　堅斗,オリックス,10.3,2025,22
2.9,1.07,2.9,3.2,1.2,43.3,福島　蓮,日本ハム,61.0,2025,21
3.37,1.32,2.1,2.6,0.9,30.6,カイケル,ロッテ,40.0,2025,37
2.85,1.16,0.7,0.7,0.4,11.3,松田　啄磨,楽天,15.0,2025,23
2.75,1.1,0.3,0.3,0.1,3.9,京本　眞,巨人,5.0,2025,21
2.78,1.13,0.3,0.3,0.1,3.9,松本　隆之介,DeNA,5.0,2025,22
2.95,1.13,2.4,3.0,1.0,38.5,松木平　優太,中日,48.7,2025,22
2.95,1.12,1.5,1.9,0.9,24.1,西舘　勇陽,巨人,30.7,2025,23
2.85,1.13,0.5,0.5,0.3,7.4,細野　晴希,日本ハム,9.3,2025,23
3.1,1.22,3.4,3.1,1.2,43.7,石田　裕太郎,DeNA,59.0,2025,23
3.17,1.16,2.7,2.7,1.1,39.3,髙島　泰都,オリックス,56.0,2025,25
2.89,1.1,1.2,1.5,1.8,17.6,柳川　大晟,日本ハム,22.0,2025,21
3.14,1.21,2.0,1.8,0.7,25.3,吉野　光樹,DeNA,31.3,2025,26
3.31,1.13,4.7,5.9,1.4,62.1,古謝　樹,楽天,83.3,2025,23
2.99,1.15,0.8,0.8,0.4,11.2,松本　健吾,ヤクルト,14.3,2025,25
3.33,1.21,3.0,2.1,1.5,41.7,中川　颯,DeNA,57.0,2025,26
3.3,1.24,1.2,1.6,0.6,20.1,エスパーダ,ヤクルト,27.0,2025,28
3.14,1.18,1.0,1.4,0.6,17.4,才木　海翔,オリックス,23.0,2025,24
3.08,1.15,1.2,1.4,0.6,19.2,菅井　信也,西武,24.0,2025,21
2.99,1.15,0.7,0.7,0.3,8.7,佐藤　一磨,オリックス,11.7,2025,23
2.85,1.15,0.2,0.2,0.1,2.6,石黒　佑弥,阪神,3.3,2025,23
3.46,1.28,1.3,1.3,0.7,26.1,ヤン,西武,30.7,2025,28
3.01,1.15,0.5,0.5,0.3,7.9,松本　凌人,DeNA,10.7,2025,23
3.08,1.17,0.6,0.6,0.3,9.3,土生　翔太,中日,12.0,2025,24
3.11,1.22,0.5,0.6,0.3,8.0,又木　鉄平,巨人,10.3,2025,26
3.07,1.2,0.3,0.3,0.1,3.8,コルデロ,ロッテ,5.0,2025,27
3.68,1.29,1.0,1.5,0.5,17.3,ハッチ,広島,22.0,2025,30
3.27,1.19,0.5,0.5,0.3,8.4,櫻井　周斗,楽天,10.7,2025,25
2.83,1.12,0.1,0.1,0.0,0.8,石原　勇輝,ヤクルト,1.0,2025,23
3.07,1.21,0.2,0.2,0.1,2.8,糸川　亮太,西武,3.7,2025,26
3.03,1.19,0.1,0.1,0.1,1.8,浜屋　将太,西武,2.3,2025,26
3.02,1.16,0.2,0.2,0.1,2.3,清宮　虎多朗,楽天,3.0,2025,24
3.88,1.36,0.5,0.5,0.3,7.7,二保　旭,ロッテ,10.3,2025,34
3.0,1.15,0.1,0.2,0.1,2.1,小園　健太,DeNA,2.7,2025,21
3.0,1.12,0.2,0.2,0.1,2.3,前田　悠伍,ソフトバンク,3.0,2025,19
2.9,1.13,0.1,0.1,0.0,0.8,村田　賢一,ソフトバンク,1.0,2025,23
